Title,puplished_date,views,likes,favorites,month,year
Bazen boşluğuna gelir😳💈,2024-06-08T14:06:14Z,90553,1284,0,Jun,24
Bazen olmaması gereken olur😳💈,2024-06-07T15:01:15Z,36727,673,0,Jun,24
Bazen istersin 😳💈,2024-06-06T16:44:23Z,28635,524,0,Jun,24
Bazen bağırırsın😳💈,2024-06-03T18:26:41Z,23948,519,0,Jun,24
Bazen yanlış pozisyon😳💈,2024-06-02T20:03:15Z,90293,1369,0,Jun,24
Bazen kül olursun😳💈,2024-05-29T14:46:48Z,21490,516,0,May,24
Bazen hiç değişmezsin😳💈,2024-05-25T17:11:44Z,11595,341,0,May,24
Bazen saçların senden vazgeçer 😳💈,2024-05-23T19:12:00Z,24962,733,0,May,24
Bazen yakarsın 😳💈,2024-05-21T18:38:06Z,34495,532,0,May,24
Bazen usturanın sessizliği 😳💈,2024-05-20T16:56:27Z,18511,466,0,May,24
Bazen ıslanırsın 😳💈,2024-05-15T16:00:11Z,26791,483,0,May,24
15 YAŞINDAKİ ÇOCUĞUN YAPTIĞI MUHTEŞEM DEĞİŞİM!!?,2024-05-10T15:00:09Z,20034,418,0,May,24
Bazen kaşın yarısı gider 😳💈,2024-05-04T16:08:59Z,60709,571,0,May,24
Bazen parlatırsın 😳💈,2024-05-03T18:31:39Z,27185,900,0,May,24
Bazen istemsiz eşlik edersin😳💈,2024-05-02T15:28:15Z,27981,576,0,May,24
Bazen yeni starlar çıkartırsın ortaya😳💈,2024-05-01T11:40:19Z,17551,529,0,May,24
Bazen eve erken gönderirsin 😳💈,2024-04-06T15:13:33Z,16243,529,0,Apr,24
Bazen beklediğim performans 😳💈,2024-03-30T18:02:40Z,32444,663,0,Mar,24
Bazen golden time 😳💈,2024-03-28T14:46:09Z,15426,479,0,Mar,24
Bazen saç sakal tıraş hizmeti alırsın😳💈,2024-03-18T16:55:50Z,15730,455,0,Mar,24
Bazen benzetirsin 😳💈,2024-03-07T15:03:36Z,23523,706,0,Mar,24
Bazen bir tebessüm yeter😳💈,2024-02-29T10:25:20Z,17012,833,0,Feb,24
EN DEĞERLİ VE EN GÜZEL TIRAŞ!!? (YÜZÜNDEKİ GÜLÜMSEME YETER) / THE MOST SPECİAL HAİR CUT,2024-02-16T14:00:40Z,17082,511,0,Feb,24
Bazen yamuk makasla düz kesersin😳💈,2024-02-12T15:59:01Z,26629,792,0,Feb,24
YAMUK MAKASLA DÜZ SAÇ NASIL KESİLİR!!? HOW TO CUT WITH BROKEN SCISSORS ASMR BARBER💈,2024-02-10T15:08:58Z,11214,252,0,Feb,24
Bazen yaşa değil başa bakarsın😳💈,2024-02-06T14:36:31Z,26581,842,0,Feb,24
Bazen çay istersin 😳💈,2024-01-26T15:42:43Z,33244,704,0,Jan,24
Bazen uyursun😳💈,2024-01-17T14:31:34Z,30611,558,0,Jan,24
OYUN OYNAMAKTAN SAÇINA BAŞINA DİKKAT ETMEYEN ÇOCUĞUN DEĞİŞİMİ!!?,2024-01-14T11:00:32Z,15883,379,0,Jan,24
Bazen ansızın gelir😳💈,2024-01-12T19:02:01Z,30971,688,0,Jan,24
Bazen gözünde canlanır 😳💈 @Marulkafaa 🤩,2024-01-09T16:04:46Z,105626,1632,0,Jan,24
Bazen usturanın ciddiyeti😳💈,2024-01-02T15:01:14Z,29602,778,0,Jan,24
Bazen dayanamazsın 😳💈,2023-12-26T17:36:28Z,35013,629,0,Dec,23
ASMR💈 2024 ÜN EN TREND EN KOLAY SAÇ MODELİ MULLET,2023-12-24T14:00:43Z,18655,413,0,Dec,23
Bazen vazgeçemezsin 😳💈,2023-12-21T12:01:12Z,18019,541,0,Dec,23
Bazen düşürürsün 😳💈,2023-12-16T15:23:44Z,46971,844,0,Dec,23
Bazen çıkamazsın 😳💈,2023-12-06T14:59:54Z,59245,1215,0,Dec,23
Bazen oturmayı öğrenirsin 😳💈,2023-12-01T14:37:12Z,57866550,537509,0,Dec,23
Bazen alev atarsın😳💈,2023-11-26T17:24:48Z,76464,1160,0,Nov,23
Bazen müşterinin istediği olur😳💈,2023-11-20T17:48:24Z,71419,1553,0,Nov,23
BU DEĞİŞİM SAYESİNDE KAYBETTİĞİ GENÇLİĞİNİ GERİ KAZANDI!!? & HE GAIN AGAIN HIS YOUTH THAT HE LOST,2023-11-17T15:00:37Z,806958,6680,0,Nov,23
Bazen çağ atlarsın😳💈,2023-10-30T20:12:11Z,60548,1773,0,Oct,23
Bazen kaymak gibi kesersin😳💈,2023-10-26T16:13:08Z,71939,2041,0,Oct,23
Bazen sende manikür yaptırırsın 😳💈,2023-10-23T16:15:31Z,39987,1190,0,Oct,23
Bazen olamazsın 😳💈,2023-10-16T15:06:12Z,178658,3539,0,Oct,23
Bazen göstermeden duramazsın 😳💈,2023-10-10T14:36:10Z,83073,1459,0,Oct,23
DEPRESYONA GİRMİŞ ADAM SAÇ MODELİ!!?,2023-10-07T14:13:27Z,19119,334,0,Oct,23
Bazen uçlarından aldırmak istersin 😳💈,2023-09-29T15:32:05Z,66504,1577,0,Sep,23
Bazen kim kesti bu saçı 😳💈,2023-09-14T17:48:44Z,102991,2433,0,Sep,23
Bazen kazıdık makaslarla 😳💈 @YouTube 🤩 1m 🙏🏻,2023-09-11T18:10:17Z,97361,2876,0,Sep,23
Bazen saçlarla konuşursun 😳💈,2023-08-23T14:06:57Z,92749,2197,0,Aug,23
Bazen maksimum doğum günü süprizi 😳🥳💈 en güzel hediye @YouTube  1m plaketi 🤩 teşekkürler🫶🏻,2023-08-21T17:39:17Z,117418264,879266,0,Aug,23
Bazen eski haline dönmek istemezsin 😳💈,2023-08-17T18:38:38Z,159582,4169,0,Aug,23
Bazen uyarman gerek 😳💈,2023-08-16T16:09:55Z,71508,2705,0,Aug,23
Bazen yanlış bağlarsın 😳💈,2023-08-14T16:07:41Z,25432478,314859,0,Aug,23
POPÇU BERKAY GİBİ GELDİ TOPÇU BERKAY GİBİ GİTTİ!!?,2023-08-09T17:00:23Z,21535,467,0,Aug,23
Bazen model renk aynısını istersin 😳💈,2023-08-04T17:22:12Z,144122,3748,0,Aug,23
Bazen aradığını bulursun 😳💈,2023-08-03T18:55:41Z,74184,2053,0,Aug,23
Bazen #antalyaspor 🤩,2023-08-01T18:15:37Z,57418,1625,0,Aug,23
Bazen denemeye değer😳💈,2023-07-30T15:59:40Z,96922,3192,0,Jul,23
Bazen özel damat tıraşı 😳💈,2023-07-14T15:13:04Z,93004,2881,0,Jul,23
Bazen 1m plaketini beklersin 😳💈,2023-07-05T14:21:27Z,50868,1798,0,Jul,23
Bazen yanan sen olursun 😳💈,2023-07-04T15:26:56Z,92093,1671,0,Jul,23
Bazen bunlar var 😳💈,2023-06-29T09:04:46Z,98148,2535,0,Jun,23
Bazen 3 e vurmak zorunda kalırsın 😳💈,2023-06-27T18:34:40Z,132192,2943,0,Jun,23
Bazen keser bakarsın 😳💈,2023-06-23T17:20:53Z,72991,2006,0,Jun,23
BUNA GERÇEKTEN İHTİYACI VARMIŞ! RESMEN EVRİM GEÇİRDİ!😯 | ASMR BARBER,2023-06-19T16:20:32Z,258351,2476,0,Jun,23
Bazen açmaman gerekir 😳💈,2023-06-17T18:27:07Z,85974,1848,0,Jun,23
Bazen benzeteceğin kişi bellidir 😳💈,2023-06-13T15:08:37Z,564123,14124,0,Jun,23
Bazen yanlış yıkatırsın 😳💈,2023-06-03T17:47:23Z,16361513,238458,0,Jun,23
Bazen beğenmek zorundasındır 😳💈,2023-06-02T14:43:47Z,138967,5390,0,Jun,23
Bazen emeğinin karşılığını alırsın 😳💈,2023-05-29T16:25:34Z,134148,4786,0,May,23
Bazen yanlış oturursun 😳💈,2023-05-22T22:24:43Z,507570338,6850735,0,May,23
Bazen duruş önemli 😳💈,2023-05-18T16:54:52Z,639250,10561,0,May,23
Bazen rahatlarsın 😳💈,2023-05-17T13:56:31Z,144865,5296,0,May,23
Bazen yargılamadan önce düşün 😳💈,2023-05-15T17:38:54Z,3443380,65060,0,May,23
SAÇ DÖKÜLMELERİNE KARŞI SAÇLARINI KAZITTI!!? /ASMR BARBER/,2023-05-13T19:37:37Z,42717,655,0,May,23
Bazen hayal edersin 😳💈,2023-05-11T14:45:13Z,103600,2477,0,May,23
Bazen zamanın nasıl geçtiğini anlamazsın 😳💈,2023-05-03T18:29:48Z,105454,3120,0,May,23
Bazen bir araya getirirsin 😳💈,2023-05-02T23:17:13Z,86589,2834,0,May,23
DÜĞÜN İÇİN 7 YILLIK SAÇLARINA VEDA ETTİ!!? & HE HAS CUT HİM 7 YEARS HAİR BECAUSE OF WEDDİNG,2023-04-24T20:00:38Z,67653,1158,0,Apr,23
Bazen aklına o gelir 😳💈,2023-04-12T21:33:27Z,103659,2465,0,Apr,23
Bazen yıkarlar 😳💈,2023-03-24T18:18:31Z,126960,2708,0,Mar,23
DÜZ VE UZUN SAÇLARI KESİNCE ORTAYA BONUS ÇIKTI!!?,2023-03-18T09:00:22Z,26518,600,0,Mar,23
AYNAYA BAKMAYA BAKMAYA KORKAR HALDEYDİ!!?,2023-03-12T09:00:19Z,32646,755,0,Mar,23
Bazen 6 yıllık saçları icardi modeline feda etti 😳💈,2023-03-07T19:57:43Z,109520,2524,0,Mar,23
SOKAKTA YAŞAYAN ADAM ŞİMDİ HOLLYWOOD'A ADIM ATIYOR!!?,2023-03-02T15:30:09Z,936214,11921,0,Mar,23
Bazen 🔥👂,2023-02-27T17:03:00Z,130341,2803,0,Feb,23
Bazen 👍🏻😳💈,2023-02-22T15:30:31Z,185071,8137,0,Feb,23
MAKASLA SAKAL KESTİRMEK İÇİN DUBAİ'DEN GELDİ!!? & COME FROM DUBAI TO CUT A BEARD WITH SCISSORS,2023-02-20T18:27:08Z,58867,996,0,Feb,23
6 YILLIK SAÇLARI İCARDİ MODELİNE FEDA ETTİ!!? & HE GAVE UP 6 YEARS HAIR FOR ICARDI'S STYLE,2023-02-05T09:00:11Z,54669,1072,0,Feb,23
Bazen aşkın olayım 😳💈 #icardi 🤩,2023-02-04T09:31:10Z,352328,6724,0,Feb,23
Bazen yapamazsın derler 😳💈,2023-02-02T18:31:05Z,101572,3758,0,Feb,23
Bazen special 😳💈,2023-01-30T20:23:00Z,128685,5348,0,Jan,23
Bazen havalı girersin 😳💈,2023-01-26T17:17:42Z,165582,5870,0,Jan,23
Bazen yanlış anlarsın 😳💈,2023-01-25T14:22:52Z,118548,4203,0,Jan,23
Bazen gözlerini kaçıramazsın 😳💈,2023-01-24T15:00:16Z,153877,3166,0,Jan,23
Bazen uçlarından alırsın 😳💈,2023-01-21T14:27:50Z,102176,1924,0,Jan,23
Bazen kıyarsın 😳💈,2022-12-26T19:01:54Z,170244,4621,0,Dec,22
Bazen yeni şubede ilk tıraşı sen olursun 😳💈,2022-12-22T14:25:10Z,113636,4354,0,Dec,22
Bazen yürümeye devam edersin 😳💈,2022-12-16T16:39:45Z,95531,3185,0,Dec,22
Bazen yola çıkarsın 😳💈,2022-12-13T15:10:56Z,98250,3644,0,Dec,22
Bazen 61😳💈,2022-12-07T16:44:59Z,8539112,226203,0,Dec,22
Bazen sinirleriyle oynarsın 😳💈,2022-11-30T11:35:17Z,89316,2439,0,Nov,22
Bazen kendine bir yol çizersin 😳💈,2022-11-29T12:38:57Z,94037,1707,0,Nov,22
Bazen kendini tutamazsın 😳💈,2022-11-28T13:55:32Z,92590,2557,0,Nov,22
KURT ADAMA DÖNÜŞMEK ÜZEREYKEN İNSANA ÇEVİRDİK!!?,2022-11-20T09:00:32Z,28996,598,0,Nov,22
Bazen ters köşe 😳💈,2022-11-19T15:49:01Z,71543,2320,0,Nov,22
Bazen emek ister 😳💈,2022-11-18T20:31:10Z,84496,2502,0,Nov,22
Bazen icardiiii 😳💈,2022-11-17T15:37:52Z,60571,1324,0,Nov,22
"İCARDİNİN HAYRANIYIM DEDİ ONU İCARDİ YAPTIK! & HE WAS A ICARDI'S FAN, WE TURNED HIM ICARDI'S HIMSELF",2022-11-16T14:59:56Z,32998,562,0,Nov,22
Bazen güzel olaylara doğru yürürsün 😳💈,2022-11-15T13:59:36Z,68616,2809,0,Nov,22
Bazen sonrası 😳💈,2022-11-14T15:44:13Z,40384,1458,0,Nov,22
Bazen tek derdin saç kestirmek olur 😳💈,2022-11-12T15:48:37Z,129964,5580,0,Nov,22
KALEM SATAN GENÇ HAZİNE BULDU !? & YOUNG PEOPLE SELLING PENS FOUND TREASURE !,2022-11-11T15:30:11Z,20216,514,0,Nov,22
Bazen doğrular da yanıltır 😳💈,2022-11-11T14:05:17Z,96941,1636,0,Nov,22
Bazen değişim cesaret ister 😳💈,2022-11-04T12:17:30Z,95601,2610,0,Nov,22
Bazen bütün tuşlara basarsın 😳💈,2022-11-02T15:23:32Z,63034,1488,0,Nov,22
SAÇ SAKAL ESTETİĞİ YAPTIK!!? & WE DID HIM HAIR AND BEARD PLASTIC SURGERY,2022-10-28T16:52:20Z,24625,606,0,Oct,22
Bazen boyunda büyük kararlar alırsın 😳💈,2022-10-26T16:38:31Z,82727,3294,0,Oct,22
HAMİLE KARISINI KIRMADI VE SAÇLARA VEDA ETTİ!!? & HE LISTEN TO HIS WIFE AND SAID GOODBYE TO HIS HAIR,2022-10-22T21:00:09Z,28299,621,0,Oct,22
Bazen gözler anlatır 😳💈,2022-10-21T15:30:02Z,64882,2832,0,Oct,22
"BU TIRAŞI YAPAN KÖR , YAPTIRAN DA AŞIK OLDU!!?",2022-10-18T15:24:32Z,13429,356,0,Oct,22
Bazen gerçek olduğuna inanamazsın 😳💈,2022-10-16T12:47:46Z,41751,1323,0,Oct,22
ADAMIN KAFAYA UZAYLI İNDİRDİK!? & WE LANDED ON HIS HAD A ALIEN ?!,2022-10-12T15:00:12Z,13266,318,0,Oct,22
Bazen takılır kalırsın 😳💈,2022-10-11T12:26:26Z,65862,1925,0,Oct,22
Bazen manzaraya karşı 😳💈,2022-10-10T16:22:33Z,16355686,740187,0,Oct,22
Bazen çeker bırakırsın 😳💈,2022-10-08T10:10:51Z,39625,1145,0,Oct,22
BU SAÇ MODELİNİ FÖN ÇEKMEDEN KULLANAMAZSIN!! & WİTHOUT BLOW DRİYİNG YOU CAN'T USE THİS HAİRSTYLE,2022-10-05T14:09:34Z,16111,456,0,Oct,22
KENDİNİ SALMIŞ BİR ÇOCUĞA NEFES ALDIRDIK!!? & WE GET RID OF HIS MESSY LOOK!!,2022-10-02T09:00:06Z,15905,462,0,Oct,22
Bazen yön verirsin 😳💈,2022-09-30T09:13:35Z,98306,3891,0,Sep,22
ÖLÇTÜK BİÇTİK EN ÇILGIN MODELİ TASARLADIK!! & WE DO IT CRAZIEST MODEL EVER,2022-09-28T16:07:44Z,121549,1550,0,Sep,22
Bazen saçın altından şeytan çıkar 😳💈,2022-09-27T19:37:05Z,70989,2883,0,Sep,22
Bazen kurtarırsın 😳💈,2022-09-26T19:50:28Z,328408,8893,0,Sep,22
EVSİZ AMCANIN ÇATIDA TIRAŞI!!? (HAYALDİ GERÇEK OLDU) & WE GAVE HOMELESS A HAIRCUT ON ROOFTOP,2022-09-25T09:00:03Z,108944,2182,0,Sep,22
Bazen şaşırırsın 😳💈,2022-09-24T20:00:27Z,64099,1509,0,Sep,22
Bazen babayı gençliğine götürürsün 😳💈,2022-09-23T17:46:21Z,672747,16750,0,Sep,22
BEKLENMEDİK BİR ANDA SAÇINI KESTİRME KARARI ALDI!!? (UZUN SAÇIN ÖMRÜ KISA SÜRDÜ),2022-09-22T15:12:18Z,25196,667,0,Sep,22
Bazen aradığın boyayı bulursun 😳💈,2022-09-20T17:10:34Z,54817,3282,0,Sep,22
SAÇININ ALTINDAN ŞEYTAN ÇIKTI!!? & HE HIDING A DEVIL UNDER HIS HAIR!,2022-09-18T09:00:24Z,17120,524,0,Sep,22
40 YILDIR BERBERİM BÖYLE BİR DEĞİŞİM GÖRMEDİM!?! & I HAVEN'T SEEN SUCH A CHANGE İN 40 YEARS!!,2022-09-14T14:00:07Z,55828,1152,0,Sep,22
"BU SAÇ BABAMI GENÇLİĞİNE GÖTÜRDÜ!!? (80LER, 90LAR) & THIS HAIRCUT TURN BACK OUR FATHER THE HIS YOUTH",2022-09-11T09:00:08Z,40090,874,0,Sep,22
Bazen denersin 😳💈,2022-09-09T18:44:55Z,60253,2193,0,Sep,22
EKİBİMDEN EN GENÇ KALFAYA TIRAŞ OLDUM!!? (DAHA 16 YAŞINDAA!!) & HE IS ONLY 16 YEARS OLD BARBER !!?,2022-09-07T15:27:01Z,114457,2070,0,Sep,22
BAZEN AÇIM DAYIYI BULURSUN 😳💈,2022-09-02T16:12:29Z,186521,7282,0,Sep,22
KADINLARIN BAYILDIĞI SAÇ RENGİNİ YAPTIK!! | WOMEN'S FAVORITE HAIR COLOR ON MEN !,2022-08-28T09:00:16Z,15176,529,0,Aug,22
KAFASI ÇOK KARIŞIKTI ARTIK DÜM DÜZ!! | CURLY HAIR? NO PROBLEM!,2022-08-24T15:00:08Z,13630,443,0,Aug,22
"ZATEN YAKIŞIKLIYDI DAHA YAKIŞIKLI OLDU!!? & HE WAS ALREADY HANDSOME, BECOME MORE HANDSOME / ASMR💈",2022-08-21T11:06:34Z,18761,557,0,Aug,22
Bazen sulu şaka yaparsın 😳💈,2022-08-20T14:26:05Z,72648,1756,0,Aug,22
BAZEN GERGİN 😳💈,2022-08-18T15:15:23Z,61563,1292,0,Aug,22
ASMR💈KOCA SAKAL TIRAŞA GELDİ ! | BIG BEARD IS HERE !,2022-08-17T15:03:48Z,41147,893,0,Aug,22
AÇIM DAYININ HİKAYESİNİ ÖĞRENDİK!!? & WE HOST THE HOMELESS MAN AND GIVE HIM A GOOD DAY,2022-08-14T11:00:13Z,116133,2795,0,Aug,22
MAĞARA ADAMINDAN CENTİLMENE DÖNÜŞÜM ! | HOW TO CHANGE CAVEMAN TO GENTLEMAN ?,2022-08-10T15:00:21Z,23424,693,0,Aug,22
Bazen yaşamadan bilemezsin 😳💈,2022-08-08T08:34:54Z,65513,1673,0,Aug,22
ASMR 💈GELECEĞE YÖN VERECEK SAÇ MODELİ (2049) | HAIRSTYLE THAT COME FROM THE FUTURE (2049),2022-08-07T09:00:29Z,36566,902,0,Aug,22
Bazen Olması Gereken Yapılır😳💈 #teambarberstown #barberstowntv #barberstown,2022-08-05T17:19:20Z,61310,2386,0,Aug,22
10 YILLIK SAÇLARIN ALTINDAN NE ÇIKTI ? | WHAT IS HE HIDING HIS 10 YEARS OLD HAIRS?,2022-08-03T15:00:42Z,126860,1598,0,Aug,22
ASMR 💈SAÇ TIRAŞI BİR İNSANI NE KADAR DEĞİŞTİREBİLİR ? (İNANILMAZ DEĞİŞİM) | AMAZING CHANGE !,2022-07-31T09:00:01Z,35699,752,0,Jul,22
Bazen Before & After 😳💈,2022-07-29T16:48:13Z,52553,1548,0,Jul,22
ASMR💈UZUN SAÇLARINI KESTİREREK HAYATININ HATASINI MI YAPTI ? | DID HE CHOOSE THE RIGHT DECISION ?,2022-07-27T15:00:11Z,82234,1550,0,Jul,22
Bazen sersemletir 😳💈 #teambarberstown #barberstowntv #barberstown,2022-07-23T15:55:27Z,60080,2644,0,Jul,22
Bazen OYUN oynarsın 😳💈,2022-07-16T17:36:26Z,72565,3436,0,Jul,22
BİRBİRİNE GİRMİŞ SAÇLARA NE Mİ OLDU!!? & WHAT HAPPENED TO HIS HAİR THAT WAS TANGLED LIKE THAT!!?,2022-07-10T09:00:21Z,119425,1733,0,Jul,22
Bazen ya bi değişiklik olsun bıktık ya 😳💈 #teambarberstown #barberstowntv #barberstown 👈🏻,2022-07-06T16:29:17Z,62522,2476,0,Jul,22
ASMR BARBER 💈10 YILLIK SAÇLARINDAN VAZ MI GEÇTİ ? | HAS HE GIVEN UP ON HIS 10 YEARS OLD HAIR ?,2022-07-03T09:00:12Z,99262,1998,0,Jul,22
HİNT PRENSİNİN İNANILMAZ DEĞİŞİMİ | THE AMAZING CHANGE OF THE RAJA OF INDIA,2022-06-29T15:00:13Z,28534,763,0,Jun,22
Bazen uzatmaya gerek yok 😳💈 #teambarberstown #barberstown  #barberstowntv,2022-06-28T18:02:11Z,1857416,74970,0,Jun,22
İLK ALMAN İMPARATORU 1.WİLHELM TIRAŞI | FIRST GERMAN KAISER I.WILHELM SHAVE,2022-06-26T09:00:30Z,37778,813,0,Jun,22
Bazen dublör kullanırsın😳💈 #teambarberstown #barberstown #barberstowntv,2022-06-25T15:59:52Z,3674124,80600,0,Jun,22
Bazen tam istediğin gibi 😳💈#teambarberstown #barberstown #barberstowntv,2022-06-24T15:25:18Z,105197,3758,0,Jun,22
Bazen benzetirsin 😳💈,2022-06-21T14:25:49Z,48100,2416,0,Jun,22
Bazen geride bırakırsın 😳💈,2022-06-18T17:10:42Z,50571,2422,0,Jun,22
Bazen tıraş uzun sürer😳💈,2022-06-17T14:25:15Z,64216,1455,0,Jun,22
BİR GÜNDE HAYAT NASIL DEĞİŞİR! & HOW CAN YOU CHANGE HOMELESS MAN'S LİFE IN A ONE DAY?,2022-06-15T15:00:06Z,57123,1996,0,Jun,22
Bazen tek atarsın 😳💈,2022-06-13T18:05:53Z,27696935,520579,0,Jun,22
KAFASINDAKİ YARA İZİNDEN KRAL YOLU YAPTIK | WE TURNED HIS SCAR TO PERSIAN ROYAL ROAD,2022-06-12T10:01:53Z,20660,579,0,Jun,22
Bazen dünya boştur lo 😳💈,2022-06-10T16:58:42Z,71138,1370,0,Jun,22
Bazen bunu yaşarsın 😳💈,2022-06-09T18:27:31Z,63008,1653,0,Jun,22
Bazen kalanlarda gider!😳💈,2022-06-07T14:36:08Z,93302,3396,0,Jun,22
Bazen küçüğü büyük kesersin 😳💈,2022-06-03T14:55:07Z,78031,3340,0,Jun,22
YÜKSEK GEÇİŞ TIRAŞI NASIL YAPILIR 💈 HOW TO DO A HIGH FADE,2022-06-01T15:00:03Z,29725,816,0,Jun,22
Bazen beklediğine değer 😳💈,2022-05-31T14:20:50Z,94361,4167,0,May,22
Bazen yaşa değil icraata bakarsın 😳💈,2022-05-26T17:11:24Z,79495,3399,0,May,22
EVSİZ İKİ KARDEŞ YILLAR SONRA BİR ARADA ! | TWO HOMELESS BROTHERS ARE TOGETHER AGAIN AFTER YEARS,2022-05-25T16:02:17Z,57913,1640,0,May,22
Bazen çift çizgi 😳💈,2022-05-24T16:29:17Z,92692,2211,0,May,22
DÜNYANIN EN UZUN BIYIK TASARIMI!! & THE WORLD'S LONGEST MUSTACHE DESİGN,2022-05-22T09:00:25Z,49628,951,0,May,22
Bazen tercihin doğru olur 😳💈,2022-05-17T16:11:20Z,328285,10030,0,May,22
Bazen gidemezsin 😳💈,2022-05-15T15:28:28Z,136626,6768,0,May,22
Bazen Spiderman 😳💈,2022-05-14T12:40:33Z,70469,3892,0,May,22
Bazen derdine derman olursun😳💈,2022-05-11T18:06:53Z,100447,5445,0,May,22
Bazen bunu yaşarsın 🥺💈,2022-05-10T18:07:27Z,81400,3213,0,May,22
Bazen havalı 😳💈,2022-05-09T14:27:31Z,79353,4033,0,May,22
AĞDANIN KILLA İMTİHANI ! (ŞAŞIRTAN DEĞİŞİM) | EVEN WAX DIDN'T HELP HIM ?! (AMAZING CHANGE),2022-05-08T09:00:04Z,147660,2551,0,May,22
Bazen işler kesattır 😳💈,2022-05-07T17:26:44Z,68983,2249,0,May,22
Bazen gizem yüklersin 😳💈,2022-05-05T15:44:57Z,95942,4017,0,May,22
Bazen paylaşmaya kıyamazsın 😳💈,2022-05-03T14:31:04Z,361353,22160,0,May,22
